Wavelength,Flux,BestFit,SkyFlux
4336.107,54.064,56.284,6.797
4337.107,52.845,56.606,7.194
4338.105,59.405,59.608,6.741
4339.103,59.674,57.432,6.059
4340.103,56.808,56.811,5.463
4341.102,55.980,55.850,4.820
4342.103,56.364,55.796,4.808
4343.101,59.005,56.014,5.750
4344.103,57.161,56.330,6.518
4345.102,59.034,58.567,6.272
4346.102,57.689,59.644,6.912
4347.104,55.877,58.848,7.972
4348.104,59.709,57.433,7.098
4349.107,61.457,55.556,6.784
4350.107,58.955,54.691,7.719
4351.110,58.436,57.149,7.449
4352.111,57.646,56.954,6.353
4353.113,57.377,55.658,5.702
4354.116,57.946,54.528,5.671
4355.118,57.452,54.429,5.951
4356.122,55.649,54.873,7.116
4357.125,55.520,54.081,11.438
4358.129,57.901,52.895,21.970
4359.132,53.330,52.227,36.650
4360.135,55.581,50.888,38.722
4361.140,51.713,48.475,28.379
4362.143,49.874,46.476,18.485
4363.149,47.955,46.443,11.810
4364.153,49.221,45.341,8.993
4365.159,53.654,48.792,8.305
4366.164,56.036,55.186,8.014
4367.168,60.676,59.392,7.454
4368.175,63.147,58.050,7.500
4369.180,58.962,52.623,8.054
4370.187,54.406,47.471,7.488
4371.193,50.861,45.384,6.564
4372.201,48.782,46.019,6.636
4373.207,49.308,46.998,5.859
4374.213,51.558,47.396,5.836
4375.221,52.341,48.853,7.302
4376.228,55.353,50.180,6.549
4377.237,54.715,51.540,6.321
4378.244,53.800,52.930,7.657
4379.254,52.651,53.521,7.888
4380.261,52.602,53.797,7.032
4381.269,56.369,55.583,6.065
4382.279,57.959,56.165,5.763
4383.287,56.782,56.592,5.626
4384.298,58.379,56.144,5.164
4385.307,57.258,55.186,4.948
4386.318,56.189,54.827,5.236
4387.327,56.545,55.246,5.375
4388.336,55.133,55.318,5.248
4389.348,57.696,57.095,4.853
4390.358,61.482,58.152,4.939
4391.370,57.175,58.165,5.526
4392.381,58.000,57.820,6.169
4393.393,59.207,56.865,6.302
4394.404,57.750,57.148,5.711
4395.415,59.747,56.385,5.450
4396.429,59.478,55.996,5.763
4397.440,56.579,56.081,5.968
4398.454,55.908,55.693,6.085
4399.466,52.759,55.166,6.943
4400.480,56.117,56.232,7.079
4401.493,54.344,56.123,6.603
4402.505,54.981,58.110,7.463
4403.520,51.142,60.174,7.393
4404.534,56.409,59.941,6.036
4405.549,60.514,60.328,6.289
4406.563,56.743,60.781,6.706
4407.579,59.860,61.845,6.590
4408.593,59.565,61.086,7.696
4409.607,55.701,58.623,8.575
4410.624,56.063,56.267,7.517
4411.638,57.020,55.102,6.342
4412.656,55.828,55.644,6.893
4413.671,56.755,56.562,7.753
4414.689,56.585,57.286,7.500
4415.704,54.733,59.454,7.189
4416.723,56.935,61.797,8.451
4417.739,53.150,59.532,8.628
4418.755,55.172,58.116,7.408
4419.774,56.130,58.357,6.850
4420.791,54.520,58.910,7.161
4421.810,53.868,59.089,7.793
4422.827,53.026,58.615,7.800
4423.847,51.251,57.631,7.016
4424.865,52.280,58.513,6.924
4425.883,52.855,57.865,7.559
4426.903,52.418,58.270,7.342
4427.922,53.905,59.198,7.069
4428.943,53.245,59.377,7.777
4429.962,55.739,60.170,7.591
4430.983,58.469,59.620,7.264
4432.003,52.991,60.356,7.300
4433.022,56.494,60.879,7.016
4434.044,57.789,61.097,7.121
4435.064,55.282,61.033,7.181
4436.087,55.857,59.467,6.427
4437.108,57.595,59.207,5.960
4438.131,54.766,59.221,6.814
4439.152,54.316,58.873,7.521
4440.173,55.253,59.055,7.313
4441.197,52.165,59.022,7.228
4442.219,49.886,56.040,7.407
4443.243,51.704,54.064,6.883
4444.265,50.416,55.226,5.873
4445.290,49.215,56.057,5.889
4446.313,54.177,56.054,7.321
4447.336,49.781,56.270,8.332
4448.361,53.150,56.272,6.806
4449.384,55.869,57.067,5.950
4450.410,56.054,57.811,6.211
4451.434,50.549,57.583,5.921
4452.461,54.720,58.000,5.861
4453.485,55.715,59.195,6.068
4454.510,50.833,57.988,6.290
4455.537,51.742,56.902,6.115
4456.562,53.027,58.557,5.521
4457.589,53.962,58.279,5.227
4458.615,57.476,57.266,5.492
4459.643,54.135,57.785,5.399
4460.669,54.569,57.430,5.538
4461.695,53.236,58.825,6.337
4462.724,55.503,58.903,6.397
4463.751,55.969,58.869,5.895
4464.780,56.634,59.537,5.534
4465.807,57.117,60.092,6.088
4466.837,54.507,59.430,6.338
4467.864,51.470,58.275,5.791
4468.892,55.619,56.251,5.727
4469.923,55.386,54.995,6.348
4470.951,50.249,54.812,6.891
4471.982,47.676,55.116,6.614
4473.011,50.242,55.820,6.091
4474.042,52.153,56.671,6.306
4475.072,50.278,56.124,7.004
4476.101,54.139,56.551,7.113
4477.133,54.768,58.179,6.727
4478.163,54.824,58.906,6.962
4479.196,51.367,57.762,7.176
4480.226,54.861,58.703,5.862
4481.259,56.654,60.014,5.411
4482.290,55.716,59.667,5.877
4483.322,55.517,59.278,5.354
4484.355,59.670,59.973,5.260
4485.387,59.501,59.499,6.151
4486.421,57.457,59.057,6.770
4487.453,54.504,57.220,6.897
4488.488,53.812,56.729,6.314
4489.521,57.268,57.104,5.464
4490.554,57.147,57.186,5.722
4491.589,54.386,58.465,6.476
4492.622,57.736,59.417,6.808
4493.658,55.000,60.314,7.421
4494.692,52.730,59.092,7.747
4495.729,55.122,58.888,6.951
4496.763,53.774,60.290,5.913
4497.800,51.153,56.462,5.986
4498.834,49.413,51.487,6.460
4499.869,48.666,51.639,7.138
4500.907,46.090,52.603,7.485
4501.943,50.582,53.238,7.050
4502.981,54.843,55.013,6.567
4504.017,54.289,57.241,6.688
4505.055,51.377,59.294,7.024
4506.092,52.448,59.703,7.027
4507.128,54.571,59.061,6.655
4508.168,50.554,57.886,6.849
4509.205,52.735,56.290,7.059
4510.244,51.348,55.129,6.477
4511.282,51.863,56.810,5.819
4512.322,53.194,55.336,6.562
4513.360,53.986,56.234,7.269
