Wavelength,Flux,BestFit,SkyFlux
4465.807,43.259,45.925,10.612
4466.837,40.646,44.408,10.434
4467.864,40.712,41.729,10.159
4468.892,41.234,40.727,9.884
4469.923,40.183,43.423,9.486
4470.951,40.295,42.532,8.992
4471.982,39.678,42.500,8.759
4473.011,41.052,41.094,9.250
4474.042,39.315,40.395,9.792
4475.072,38.199,40.562,10.065
4476.101,39.501,40.078,10.390
4477.133,40.101,42.438,10.442
4478.163,39.122,43.781,10.044
4479.196,37.628,43.160,9.652
4480.226,38.350,41.756,9.541
4481.259,39.795,40.112,9.536
4482.290,40.067,38.942,9.498
4483.322,41.393,40.841,9.705
4484.355,41.340,40.702,10.701
4485.387,38.772,39.579,11.269
4486.421,41.099,38.479,11.062
4487.453,39.676,38.366,10.635
4488.488,38.397,39.081,10.335
4489.521,39.439,37.639,9.850
4490.554,38.003,37.518,9.711
4491.589,38.774,36.856,10.088
4492.622,37.489,35.462,10.705
4493.658,35.950,33.436,11.191
4494.692,35.379,31.220,11.045
4495.729,36.816,31.181,10.757
4496.763,36.840,30.612,10.665
4497.800,40.975,33.807,10.868
4498.834,50.187,43.158,11.423
4499.869,59.489,53.014,11.700
4500.907,62.054,53.545,11.153
4501.943,49.186,44.004,10.238
4502.981,40.063,34.422,9.939
4504.017,36.493,30.348,10.478
4505.055,35.492,30.459,10.933
4506.092,35.671,31.388,11.078
4507.128,34.495,31.625,11.326
4508.168,36.821,33.073,10.981
4509.205,36.776,34.949,10.176
4510.244,39.008,35.393,9.962
4511.282,37.030,36.732,10.401
4512.322,39.132,38.609,10.727
4513.360,37.849,38.641,10.479
4514.399,35.789,39.818,10.629
4515.440,39.754,40.006,10.603
4516.478,38.639,41.019,10.235
4517.520,35.670,41.232,10.071
4518.559,37.999,39.963,10.359
4519.601,36.568,39.172,10.629
4520.641,36.627,39.857,11.040
4521.681,38.941,39.800,11.730
4522.724,37.429,41.480,12.121
4523.764,39.717,42.839,11.663
4524.807,40.779,42.825,10.827
4525.848,40.930,42.756,10.317
4526.892,40.965,41.964,10.307
4527.933,39.059,41.903,10.891
4528.975,39.697,41.193,11.841
4530.019,40.718,40.950,12.552
4531.061,38.772,40.891,12.451
4532.106,37.061,39.841,12.306
4533.149,34.992,40.584,13.499
4534.194,32.533,42.095,13.086
4535.237,38.402,41.732,12.145
4536.280,37.903,42.554,12.103
4537.327,38.414,44.393,12.711
4538.370,39.578,43.942,12.846
4539.417,41.022,44.320,12.288
4540.461,43.746,45.716,11.667
4541.508,41.106,46.374,11.484
4542.553,39.529,45.410,12.078
4543.598,39.888,43.670,13.136
4544.646,40.799,41.902,13.253
4545.691,40.250,38.712,13.269
4546.739,38.236,39.402,13.546
4547.785,37.070,41.213,13.308
4548.834,38.243,42.082,12.927
4549.881,40.896,43.300,12.130
4550.927,41.540,45.617,11.905
4551.977,38.452,44.155,12.244
4553.024,38.775,44.197,12.152
4554.074,36.896,43.926,11.778
4555.121,35.390,44.471,11.604
4556.172,38.297,45.152,11.317
4557.220,40.595,43.743,10.549
4558.268,39.483,43.253,10.695
4559.319,39.382,43.434,11.250
4560.368,38.878,42.963,11.179
4561.420,38.320,43.206,11.002
4562.469,36.561,44.158,10.733
4563.521,39.580,44.432,10.266
4564.571,42.942,45.257,10.359
4565.621,41.667,44.589,10.057
4566.674,41.539,44.596,9.675
